name,image,boobs,face,sexyness,butt,cuteness,thighs
leaf,https://static.zerochan.net/Leaf.%28Pok%C3%A9mon%29.full.2664668.png,4,3,3,3,4,4
misty,https://i.kym-cdn.com/photos/images/original/001/498/118/c95.jpg,4,4,3,5,4,3
erika,https://danbooru.donmai.us/data/sample/sample-6d749c895017b9bc937a3252d680728a.jpg,3,4,3,2,5,3
sabrina,https://static3.thegamerimages.com/wordpress/wp-content/uploads/2018/09/sabrina-poke%CC%81mon-wallpaper.jpg,5,4,4,5,4,5
lorelei,https://images.saymedia-content.com/.image/t_share/MTc0NDU1NTkxMDkwMzk4NTY4/best-elite-four-members-in-pokemon.jpg,5,5,5,5,5,5
jessie,https://i.pinimg.com/originals/2f/8f/cb/2f8fcba6a2e8f8796cf5c29698493469.jpg,5,3,4,4,3,5
janine,https://cdn.donmai.us/sample/fa/19/sample-fa1916977de42b024ddc740207930fec.jpg,2,4,3,2,5,3
delia,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/aec14991-840c-45c0-8d9c-9b6a262476be/dav5d7i-7d065779-2537-436a-8d28-4aa7c3d84b71.jpg?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOiIsImlzcyI6InVybjphcHA6Iiwib2JqIjpbW3sicGF0aCI6IlwvZlwvYWVjMTQ5OTEtODQwYy00NWMwLThkOWMtOWI2YTI2MjQ3NmJlXC9kYXY1ZDdpLTdkMDY1Nzc5LTI1MzctNDM2YS04ZDI4LTRhYTdjM2Q4NGI3MS5qcGcifV1dLCJhdWQiOlsidXJuOnNlcnZpY2U6ZmlsZS5kb3dubG9hZCJdfQ.xvgvUzBC2zcS7FZRcjfPKNDrvba0nMGy6rmhqWG91_4,5,4,4,5,5,5
chloe,https://danbooru.donmai.us/data/__yamper_and_chloe_pokemon_and_2_more_drawn_by_taisa_lovemokunae__a532835390d75a8978b2b1a0d8825738.png,2,5,3,4,5,3
Kris,https://static.zerochan.net/Kris.%28Pok%C3%A9mon%29.full.2676080.png,3,3,3,4,4,5
Lyra,https://i.pinimg.com/originals/98/ac/e0/98ace0f11536dd063d8283b0ca184f35.jpg,3,5,5,5,5,5
Whitney,https://danbooru.donmai.us/data/__whitney_pokemon_and_2_more_drawn_by_momoji_lobolobo2010__e94b67f5242c206708e000a84f92ca2a.jpg,5,5,4,5,5,5
jasmine,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/3c16901c-5cf2-427d-bda3-079d0b96a23d/d5k5o4h-4b3e130f-4239-4b87-a65f-caaf77b82511.jpg?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOiIsImlzcyI6InVybjphcHA6Iiwib2JqIjpbW3sicGF0aCI6IlwvZlwvM2MxNjkwMWMtNWNmMi00MjdkLWJkYTMtMDc5ZDBiOTZhMjNkXC9kNWs1bzRoLTRiM2UxMzBmLTQyMzktNGI4Ny1hNjVmLWNhYWY3N2I4MjUxMS5qcGcifV1dLCJhdWQiOlsidXJuOnNlcnZpY2U6ZmlsZS5kb3dubG9hZCJdfQ.ZbaokB2Cg0wwL5q2cQe_Khz0grPs0jgnH0mDfrXlL3c,0,5,4,5,5,3
Clair,https://i.pinimg.com/originals/f7/cf/b0/f7cfb0d442fb5bd98c4826a5461b551d.jpg,5,3,5,5,3,5
Karen,http://pm1.narvii.com/6552/333f0c68c707e7c103c5f1a34fcca3cea2ce2228_00.jpg,5,5,5,5,5,4
